number0,system_nam,owner_type,d_prin_cit,d_prin_cnt,d_fed_prim,d_populati,d_ttl_stor,d_pws_fed_,has_nmdwb_data,num_gw_facilities,has_gw_facilities_ind,num_sw_gu_facilities,num_sw_facilities,num_gu_facilities,has_sw_facilities_ind,has_gu_facilities_ind,surface_ground_facility_type,surf_wtr_ratio_if_spws,surf_wtr_pur_ratio_if_spws,grnd_wtr_udi_ratio_if_spws,grnd_wtr_udi_purch_if_spws,surface_pws,surface_ratio_if_spws,has_source_ratio_surface_pws,mhi_2010,has_mhi_data,has_drinking_water_data,ratio_pws_mhi_over_state_mhi,disadvantage_status_type,total_intakes,sw_intakes,gw_intakes,gu_intakes,total_gu_sw_intakes,alternative_intakes,impacted_sw_intakes,impacted_gu_intakes,impacted_gu_sw_water_intakes,ratio_impacted_gu_sw_over_all,ratio_gu_sw_impacted_over_gu_sw,has_surface_intake_geo_info,seller_number0_1,seller_system_name_1,seller_pop_1,seller_number0_2,seller_system_name_2,seller_pop_2,surfacepurchaser_status,has_surfacepurchase_data,wotus2020_dwv_index,seller_wotus2020_dwv_index_1,seller_wotus2020_dwv_index_2,index_summary
NM3500123,LA MESA WATER COOP,P,PLACITAS,SANDOVAL,GW,650.0,300000.0,C,Yes,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,67857,Yes,Yes,1.411952,Non-Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500125,ILFELD MDWCA,L,ILFELD,SAN MIGUEL,GW,400.0,25000.0,C,Yes,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,34956,Yes,Yes,.72735596,Severely Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500129,BMG TRAILER PARK,P,RANCHOS DE TAOS,TAOS,GW,30.0,0.0,C,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,42636,Yes,Yes,.88715953,Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500130,MELODY RANCH WATER CO,P,MORIARTY,TORRANCE,GW,208.0,60000.0,C,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,38533,Yes,Yes,.80178529,Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500131,NORTHEAST NM DETENTION FACILITY,L,CLAYTON,UNION,GW,703.0,20000.0,NTNC,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500132,CYPRESS GARDENS WATER USERS ASSOCIATION,L,LOS LUNAS,VALENCIA,GW,1139.0,250000.0,C,Yes,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,31752,Yes,Yes,.66068792,Severely Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500202,QUEMADO MUTUAL WATER & SWA,L,QUEMADO,CATRON,GW,304.0,150000.0,C,Yes,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,42480,Yes,Yes,.88391352,Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500203,MIDWAY RV PARK,P,DEXTER,CHAVES,GW,25.0,0.0,NC,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500204,FRENCH MDWCA/SWA,L,SPRINGER,COLFAX,SWP,150.0,46000.0,C,Yes,0.0,0.0,1.0,1.0,0.0,1.0,0.0,Surface,,,,,0.0,,1.0,41074,Yes,Yes,.85465783,Disadvantaged,,,,,,,,,,,,0.0,NM3526604,SPRINGER WATER SYSTEM,1363.0,,,,A,Yes,6.0,6.0,,Direct Impact with No Alternative Sources of Water
NM3500205,TRAVELERS WORLD CAMPGROUND,P,CLOVIS,CURRY,GW,45.0,3000.0,NC,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500208,CARLSBAD KOA,P,LAKEWOOD,EDDY,GW,277.0,5052.0,NC,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500209,TROUT MOUNTAIN WATER ASSOCIATION,P,SILVER CITY,GRANT,GW,56.0,13780.0,NC,Yes,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,46698,Yes,Yes,.97168064,Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500214,LOMA GRANDE ESTATES WATER ASSOCIATION,P,NOGAL,LINCOLN,GW,90.0,32255.0,C,Yes,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,42896,Yes,Yes,.89256954,Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500216,STAGECOACH RV RANCH,P,DEMING,LUNA,GW,25.0,2665.0,NC,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,27836,Yes,Yes,.57920474,Severely Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500217,ST WILLIAMS MOBILE HOME PARK,P,MENTMORE,MCKINLEY,GW,84.0,3160.0,C,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,38640,Yes,Yes,.80401176,Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500219,KARR CANYON ESTATES,L,HIGH ROLLS,OTERO,GW,102.0,20000.0,C,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,19334,Yes,Yes,.40229717,Severely Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500221,ABIQUIU MDWCA,L,ABIQUIU,RIO ARRIBA,GW,420.0,29000.0,C,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,35585,Yes,Yes,.74044406,Severely Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500223,LA PUERTA HOA,P,PLACITAS,SANDOVAL,GW,25.0,0.0,C,Yes,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,67857,Yes,Yes,1.411952,Non-Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500224,LA VIDA MISSION COMMUNITY WATER SUPPLY,P,FARMINGTON,SAN JUAN,GW,42.0,0.0,C,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,29135,Yes,Yes,.60623401,Severely Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500228,LA PROMESA ELEMENTARY SCHOOL,P,LAS NUTRIAS,SOCORRO,GW,256.0,0.0,NTNC,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500232,HI MESA ESTATES WATER COOP,P,LOS LUNAS,VALENCIA,GW,206.0,80000.0,C,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,26398,Yes,Yes,.54928315,Severely Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500302,DATIL ELEMENTARY SCHOOL,L,DATIL,CATRON,GW,30.0,0.0,NTNC,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500305,SOUTHWEST CHEESE,P,CLOVIS,CURRY,GW,380.0,1250000.0,NTNC,Yes,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500309,TYRONE TOWNSITE,L,TYRONE,GRANT,GWP,772.0,200000.0,C,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,43824,Yes,Yes,.91187912,Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500318,LEDOUX MDWCA,L,LEDOUX,MORA,GW,168.0,33000.0,C,Yes,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,26968,Yes,Yes,.56114358,Severely Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500319,WHITE SANDS NATIONAL MONUMENT,F,WHITE SANDS MISSILE RANG,OTERO,GWP,1397.0,100000.0,NC,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500321,BARRANCO MDWCA,L,ABIQUIU,RIO ARRIBA,GW,97.0,30000.0,C,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,35585,Yes,Yes,.74044406,Severely Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500323,OVERLOOK WATER CO-OP INC,P,PLACITAS,SANDOVAL,GW,115.0,34000.0,C,Yes,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,67857,Yes,Yes,1.411952,Non-Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500324,ROSA JOINT VENTURES WATER SYSTEM,P,AZTEC,SAN JUAN,GW,456.0,55000.0,C,Yes,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,48125,Yes,Yes,1.0013733,Non-Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500326,"EPCOR WATER NEW MEXICO INC., EDGEWOOD",P,EDGEWOOD,SANTA FE,GW,4700.0,2038500.0,C,Yes,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500327,ROCK CANYON RECREATION AREA-STATE PARKS,S,ELEPHANT BUTTE,SIERRA,GW,33.0,119.0,NC,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500329,EAGLE ROCK VILLAGE,P,QUESTA,TAOS,GW,35.0,0.0,C,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,37092.4,Yes,Yes,.77180964,Severely Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500330,CASSANDRA WATER SYSTEM,P,MORIARTY,TORRANCE,GW,34.0,10000.0,C,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,38533,Yes,Yes,.80178529,Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500332,CORREO WATER ASSOCIATION,L,LAGUNA,VALENCIA,GW,166.0,20000.0,C,Yes,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,37500,Yes,Yes,.7802909,Severely Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500333,POTCO WATER SYSTEM,P,MILAN,CIBOLA,GWP,100.0,11640.0,C,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500403,GENERATIONS OF LEARNING,P,ROSWELL,CHAVES,GW,140.0,0.0,NTNC,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500404,CARISBROOK PROPERTY OWNERS ASSOCIATION,P,RATON,COLFAX,SWP,54.0,10000.0,C,Yes,0.0,0.0,1.0,1.0,0.0,1.0,0.0,Surface,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,NM3526704,CITY OF RATON/RATON WATER WORKS,9733.0,,,,A,Yes,7.0,7.0,,Direct Impact with No Alternative Sources of Water
NM3500410,HOLLYWOOD RANCH DOMESTIC WUA,L,SANTA ROSA,GUADALUPE,GWP,79.0,0.0,C,Yes,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,24085,Yes,Yes,.50115484,Severely Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500414,MOUNTAIN HIGH RV PARK,P,ALTO,LINCOLN,GW,130.0,12860.0,NC,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500417,SAGEBRUSH BAR & LIQUOR,P,GALLUP,MCKINLEY,GW,100.0,125.0,NC,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500418,NORTH CLEVELAND MDWCA,L,CLEVELAND,MORA,GW,82.0,50000.0,C,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,26968,Yes,Yes,.56114358,Severely Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500421,CANON PLAZA MDWCA,L,VALLECITOS,RIO ARRIBA,GW,60.0,10000.0,C,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,35585,Yes,Yes,.74044406,Severely Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500423,CEDAR CREEK WATER COOPERATIVE INC,P,PLACITAS,SANDOVAL,GW,151.0,0.0,C,Yes,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,67857,Yes,Yes,1.411952,Non-Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500427,MONTICELLO RV PARK,P,ELEPHANT BUTTE,SIERRA,GW,25.0,352.0,NC,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500429,TAOS COUNTRY CLUB,P,RANCHOS DE TAOS,TAOS,GW,100.0,0.0,NC,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500430,SUNSET ACRES WATER COMPANY,P,MORIARTY,TORRANCE,GW,247.0,200000.0,C,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,38533,Yes,Yes,.80178529,Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500432,LOMA ESCONDIDA WATER ASSOCIATION,P,BELEN,VALENCIA,GW,89.0,25000.0,C,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,57465,Yes,Yes,1.1957178,Non-Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500501,VENTURA ESTATES HOA,P,ALBUQUERQUE,BERNALILLO,GW,100.0,48000.0,C,Yes,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,109127,Yes,Yes,2.2706881,Non-Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500502,QUEMADO LAKE RECREATION AREA - USFS,F,QUEMADO,CATRON,GW,25.0,1800.0,NC,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500503,ROSWELL LANDFILL WATER SYSTEM,P,ROSWELL,CHAVES,GW,35.0,0.0,NTNC,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500507,DESERT AIRE MDW AND SWA,L,CHAPARRAL,DONA ANA,GW,868.0,243282.0,C,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,32045.9,Yes,Yes,.6668033,Severely Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500508,ELLIPSE GLOBAL,P,CARLSBAD,EDDY,GW,449.0,50000.0,NTNC,Yes,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500509,FAYWOOD HOT SPRINGS,P,FAYWOOD,GRANT,GW,25.0,17000.0,NC,Yes,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500521,CANJILON WATER SYSTEM,L,CANJILON,RIO ARRIBA,GW,469.0,100000.0,C,Yes,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,30585,Yes,Yes,.63640523,Severely Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500525,GABALDON MDWCA,L,LAS VEGAS,SAN MIGUEL,GW,47.0,25000.0,C,Yes,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,35019,Yes,Yes,.72866684,Severely Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500526,RANCHITOS DE GALISTEO WUA,L,GALISTEO,SANTA FE,GW,94.0,50000.0,C,Yes,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,55038,Yes,Yes,1.1452173,Non-Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500527,SOUTH MONTICELLO RECREATION AREA-STATE P,S,ELEPHANT BUTTE,SIERRA,GW,25.0,8500.0,NC,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500529,SANCHEZ MOBILE HOME PARK,P,EL PRADO,TAOS,GW,80.0,0.0,C,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,37996,Yes,Yes,.79061157,Severely Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500532,SENIOR LIVING SYSTEMS INC.,P,LOS LUNAS,VALENCIA,GW,50.0,0.0,C,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,56660,Yes,Yes,1.1789675,Non-Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500601,TIJERAS (VILLAGE OF),L,TIJERAS,BERNALILLO,GW,541.0,258000.0,C,Yes,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,77444.3,Yes,Yes,1.6114422,Non-Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500604,PHILMONT SCOUT RANCH - CITO HUNTING LODG,P,CIMARRON,COLFAX,GW,50.0,0.0,NC,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500607,SAN PABLO MDWCA,L,LAS CRUCES,DONA ANA,GWP,570.0,0.0,C,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,52940,Yes,Yes,1.1015626,Non-Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500609,"HURLEY, TOWN OF",L,HURLEY,GRANT,GWP,1372.0,690000.0,C,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,44279.7,Yes,Yes,.92136127,Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500613,INTREPID POTASH  NORTH,P,HOBBS,LEA,GWP,40.0,500000.0,NTNC,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500617,SPEEDYS BLACK HAT STORE,P,GALLUP,MCKINLEY,GW,800.0,30000.0,NC,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500619,OASIS ENTERPRISES INC.,P,ALAMOGORDO,OTERO,SWP,100.0,0.0,NC,Yes,0.0,0.0,3.0,3.0,0.0,1.0,0.0,Surface,,,,,0.0,,1.0,,No,Yes,,,,,,,,,,,,,,0.0,NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,35629.0,,,,A,Yes,3.0,3.0,,Direct Impact Non-Community Water System
NM3500621,CANONES MDWCA,L,CANONES,RIO ARRIBA,GW,97.0,25000.0,C,Yes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,35585,Yes,Yes,.74044406,Severely Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
NM3500623,VISTA DE ORO DE PLACITAS WATER USERS COO,P,PLACITAS,SANDOVAL,GW,158.0,30000.0,C,Yes,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Ground,,,,,0.0,,1.0,67857,Yes,Yes,1.411952,Non-Disadvantaged,,,,,,,,,,,,0.0,,,,,,,,No,1.0,,,No Direct Impact
